Statistic,Average,Minimum,Maximum
NN Cost,314.633333,191.0,477.0
NN Nodes Expanded,29.0,29.0,29.0
NN CPU Time,0.0,0.0,0.0
NN Real Time,0.0002,0.0,0.001002
NN2O Cost,314.633333,191.0,477.0
NN2O Nodes Expanded,35.033333,29.0,46.0
NN2O CPU Time,0.002604,0.0,0.015625
NN2O Real Time,0.000867,0.0,0.002
RNN Cost,239.866667,175.0,316.0
RNN Nodes Expanded,46.1,38.0,55.0
RNN CPU Time,0.010937,0.0,0.03125
RNN Real Time,0.013251,0.010999,0.016006
RNN2 Cost,233.733333,184.0,304.0
RNN2 Nodes Expanded,42.0,35.0,52.0
RNN2 CPU Time,0.014583,0.0,0.03125
RNN2 Real Time,0.012135,0.009508,0.014508
RNN4 Cost,237.466667,166.0,312.0
RNN4 Nodes Expanded,51.533333,39.0,64.0
RNN4 CPU Time,0.010937,0.0,0.015625
RNN4 Real Time,0.01379,0.011999,0.016
